puuid,assists,deaths,kills,bountyLevel,champExperience,champLevel,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,inhibitorTakedowns,inhibitorsLost,killingSprees,pentaKills,quadraKills,timePlayed,totalTimeSpentDead,wardsKilled,wardsPlaced,baronKills,acesBefore15Minutes,controlWardsPlaced,damagePerMinute,goldPerMinute,killParticipation,laneMinionsFirst10Minutes,maxCsAdvantageOnLaneOpponent,skillshotsHit,damageTakenOnTeamPercentage,gameLength,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,win,freshBlood,hotStreak,Churner
--84ko_OMxBHxuXeD3I2ARAiQY3WfyLasKoDy6vG7Ay3DYRTHQaREcC0ps5C1KDZOqD4NlVlzOR-zg,6.583333333333333,7.166666666666667,7.75,1.0833333333333333,15146.416666666666,15.333333333333334,7058.666666666667,12543.25,7058.666666666667,38708.25,0.8333333333333334,1.0,1.9166666666666667,0.0,0.0,1729.9166666666667,237.58333333333334,1.5,11.583333333333334,0.0,0.0,2.5833333333333335,849.990097862029,446.6599138209452,0.42487019738020887,57.75,47.92916665722927,14.0,0.285498433786745,1730.4737343975066,0.0,25.0,0.0,25.0,0.0,8.33,0.0,41.67,0.0,0.0,False
-HrFTf4VehKN15CLaJmXlzxyYWScD_eWt0dklsbmOYWmKWPEH3ybDLlKEHCgdpsp92IMPIi2PPTPhA,10.083333333333334,5.5,8.666666666666666,1.3333333333333333,16815.916666666668,16.333333333333332,4686.083333333333,8583.833333333334,4686.083333333333,19381.833333333332,0.25,1.5,2.1666666666666665,0.0,0.08333333333333333,1891.5833333333333,177.58333333333334,0.75,8.0,0.08333333333333333,0.0,0.6666666666666666,799.6817335803199,460.6764933318527,0.5364958033358321,60.083333333333336,40.208333333333336,19.833333333333332,0.1880469474789838,1892.3353963820803,0.0,16.67,0.0,8.33,0.0,16.67,0.0,41.67,0.0,0.0,False
0eI3Eb9O0NHGmz3FzvJ0XQFp5crZopMdVGbbXViA4a7SEUK5U4_6uQAazdhSciFcB6Tjw_4stywCSQ,11.583333333333334,5.416666666666667,5.0,0.8333333333333334,13338.5,14.666666666666666,3072.6666666666665,4744.583333333333,3072.6666666666665,12478.416666666666,0.5,0.75,1.25,0.0,0.0,1865.0833333333333,167.91666666666666,5.083333333333333,14.25,0.0,0.08333333333333333,1.0833333333333333,599.1678523184128,369.8718489921927,0.5063085424415086,34.333333333333336,13.929166669646898,46.333333333333336,0.162010722287844,1865.6568431912785,41.67,0.0,16.67,0.0,0.0,8.33,0.0,66.67,0.0,0.0,False
0fkuViOsH7aAapXYZqzJgU6Kk0L-cbqYTiMjI0RqmK6SKypncaGpYIoDLVjQwI1WFxbLk1UxAUiqZQ,6.5,4.416666666666667,7.0,1.0,13233.916666666666,14.5,5227.0,18168.166666666668,5227.0,22807.166666666668,0.6666666666666666,0.5833333333333334,1.5833333333333333,0.0,0.0,1700.4166666666667,137.5,1.5,7.166666666666667,0.08333333333333333,0.0,0.16666666666666666,614.938075803097,423.43737627937554,0.43839966346138287,30.333333333333332,45.82916668057442,24.083333333333332,0.2162111229267278,1701.0811625041417,0.0,8.33,16.67,25.0,0.0,33.33,0.0,50.0,100.0,0.0,False
19f7IcTGUBDPt5cvvis1Vum_NpdPJxIwHca-PPbMjTyL3h9Oesg32V_AgaqetJ2gciCtYhp60013Zg,4.75,6.25,4.333333333333333,0.6666666666666666,11363.75,13.333333333333334,3144.5833333333335,6454.25,3144.5833333333335,13580.166666666666,0.16666666666666666,0.8333333333333334,0.9166666666666666,0.0,0.0,1587.4166666666667,176.0,1.1666666666666667,7.5,0.0,0.0,1.75,556.1930206072341,372.2629885984284,0.4095755136734866,44.833333333333336,24.91250002135833,58.083333333333336,0.1845121550554042,1588.1556492214931,8.33,8.33,8.33,0.0,0.0,25.0,0.0,25.0,0.0,0.0,False
1DrSLWmHtX4aNp2wJLGCKc6UKUOZY7SlY1xI7QREn2k7_zE6dE6HbSOPDZStA3iOBsfv01NWBXDFxQ,10.25,8.083333333333334,6.5,0.16666666666666666,15186.833333333334,15.25,1223.5833333333333,3322.0,1223.5833333333333,23945.0,0.08333333333333333,1.4166666666666667,1.5833333333333333,0.0,0.0,1564.5,244.08333333333334,0.16666666666666666,5.0,0.0,0.16666666666666666,0.0,762.2541048183516,480.5471971416944,0.45641295999317166,33.5,14.25,26.5,0.2074620801914101,1564.9868427878794,25.0,0.0,16.67,0.0,0.0,33.33,0.0,25.0,0.0,0.0,False
2hz5mLYNPcCbbQEn2AltA3B_m-fPg6Iuhv-ei5CVqeaAtCCE_WidBFuMrEBLL3v2eHP0kQHPqtoFUQ,5.916666666666667,4.583333333333333,4.583333333333333,0.5,14313.0,15.0,1784.0833333333333,5574.25,1784.0833333333333,12913.583333333334,0.25,1.5833333333333333,1.0,0.0,0.0,1841.8333333333333,141.41666666666666,0.8333333333333334,6.5,0.0,0.0,0.08333333333333333,483.73726475596845,334.7021140655917,0.40679486984895313,48.5,8.66666666418314,31.0,0.15196559099299475,1842.6389380697265,0.0,8.33,0.0,8.33,0.0,16.67,0.0,33.33,0.0,0.0,True
2wKTX9hARXD7w_ZJqvuEOAoqKSN46v4_A7JEWfYEgcEHKmGfvi7oo-n-1k0MqGJbfKlOXGrff6pAag,6.833333333333333,7.666666666666667,4.333333333333333,0.3333333333333333,11272.666666666666,13.25,2885.6666666666665,6831.666666666667,2885.6666666666665,6915.25,0.4166666666666667,0.8333333333333334,0.9166666666666666,0.0,0.0,1738.9166666666667,207.33333333333334,0.9166666666666666,4.083333333333333,0.16666666666666666,0.0,0.0,359.963121773469,325.4625772840719,0.3645365229760625,44.916666666666664,4.850000001490116,20.333333333333332,0.14139955070354446,1739.6445055934319,8.33,8.33,0.0,8.33,0.0,25.0,0.0,50.0,0.0,0.0,True
339eZZHmd2oMxO2E_gPQ5eAAYQbskeKhM48esMkkW_mE_NJroRpJm6jJ_0hKBcA5CZdFRes1aBOu4w,15.666666666666666,8.166666666666666,10.166666666666666,0.25,17745.5,16.333333333333332,458.5,458.5,458.5,24663.5,0.16666666666666666,1.1666666666666667,2.6666666666666665,0.0,0.0,1176.6666666666667,206.0,0.0,0.0,0.0,0.5833333333333334,0.0,1249.812471096056,693.858113900812,0.5936445369559747,15.25,5.916666666666667,59.5,0.19297392546724743,1177.9113033724611,25.0,0.0,16.67,0.0,0.0,16.67,0.0,25.0,0.0,0.0,False
33v2GD9WFTiawVVbZhUIiyorkTO8PtiKbikz54WXBJD15uu08kZZUyf8qBNx_hcXRi-0fCEnImLWgw,7.25,6.0,6.75,0.4166666666666667,11693.5,13.666666666666666,4182.833333333333,8064.416666666667,4182.833333333333,7161.833333333333,0.75,1.0833333333333333,1.4166666666666667,0.0,0.0,1692.4166666666667,177.83333333333334,1.1666666666666667,3.1666666666666665,0.0,0.0,0.16666666666666666,513.948083329902,396.1535554789868,0.5400241231109626,60.666666666666664,31.883333335320156,27.416666666666668,0.15394572414969424,1693.1764304952412,8.33,25.0,25.0,16.67,0.0,16.67,0.0,41.67,0.0,0.0,True
3fgCTgqMFsedj-zHrogl1u7lNpbq5jwChhrSAIgyKmhTeaCiaDsxeRcJz-AfY0ozK3cvCUUa75ydwg,15.166666666666666,8.583333333333334,6.833333333333333,1.5,16710.0,16.0,2925.25,4962.75,2925.25,28230.083333333332,0.5833333333333334,0.8333333333333334,1.25,0.0,0.0,1717.5,247.25,2.6666666666666665,9.333333333333334,0.0,0.25,0.5833333333333334,789.2443610039118,457.10471581521205,0.47045060919976317,25.75,14.733333334326744,30.416666666666668,0.19803837177617645,1718.1253868974616,8.33,0.0,8.33,0.0,0.0,16.67,0.0,66.67,0.0,0.0,False
3noPnFXbZZ6YRkNiDt3N2b6SByUJodeBni4tvofinEPKZwo_w1sHLVPw3lSKwHLb2cQX51mUzlpQaA,11.666666666666666,6.75,4.833333333333333,0.75,13743.75,14.916666666666666,1900.9166666666667,6424.25,1900.9166666666667,17036.75,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,1654.5833333333333,193.5,1.75,8.583333333333334,0.0,0.25,1.5833333333333333,680.9997709370916,411.38219781019956,0.4875078186892772,50.166666666666664,18.41666668901841,77.08333333333333,0.1848224936389086,1655.1762375813996,25.0,0.0,8.33,0.0,0.0,41.67,0.0,50.0,0.0,0.0,True
